metric & model,mean diff,P(T test),P(wilcoxon test),P(ks test)
ROUGE-2:Baseline ROUGE-2:Fusion,0.11362300000000009,0.0104491885383109,0.0065922694080604635,0.1399751801638585
ROUGE-2:Baseline ROUGE-2:Ordering,0.004119999999999957,0.934514036945896,0.6214899488887016,0.1930416519246901
ROUGE-2:Baseline ROUGE-2:Ordering+Fusion,0.1236096000000001,0.005105056012318804,0.004456609445567595,0.06909243488939809
ROUGE-2:Fusion ROUGE-2:Ordering,-0.10950300000000013,0.018701749637786994,0.005647044502368355,0.06909243488939809
ROUGE-2:Fusion ROUGE-2:Ordering+Fusion,0.009986600000000012,0.7987754726284179,0.7533456839567488,0.9999968988973139
ROUGE-2:Ordering ROUGE-2:Ordering+Fusion,0.11948960000000014,0.009930214650413013,0.0009836990976189932,0.03137665215307245
ROUGE-SU4:Baseline ROUGE-SU4:Fusion,0.11362300000000009,0.0104491885383109,0.0065922694080604635,0.1399751801638585
ROUGE-SU4:Baseline ROUGE-SU4:Ordering,0.004119999999999957,0.934514036945896,0.6214899488887016,0.1930416519246901
ROUGE-SU4:Baseline ROUGE-SU4:Ordering+Fusion,0.1236096000000001,0.005105056012318804,0.004456609445567595,0.06909243488939809
ROUGE-SU4:Fusion ROUGE-SU4:Ordering,-0.10950300000000013,0.018701749637786994,0.005647044502368355,0.06909243488939809
ROUGE-SU4:Fusion ROUGE-SU4:Ordering+Fusion,0.009986600000000012,0.7987754726284179,0.7533456839567488,0.9999968988973139
ROUGE-SU4:Ordering ROUGE-SU4:Ordering+Fusion,0.11948960000000014,0.009930214650413013,0.0009836990976189932,0.03137665215307245
